P, A, etiqueta
“Ah, estoy tan cansada”, “Tienes alguna inquietud, dime”, 0
"Ay, estoy tan cansada", "Si estás muy cansada, tómate un descanso", 0
"Oh, estoy tan cansada", "¿Qué te preocupa?",0
"Oh, estoy tan cansada", "Qué tal si vamos a caminar", 0
"Oh, estoy tan cansada", "Ve a caminar", 0
"Oh, estoy tan cansada", "Creo que estirar ayudará con la fatiga", 0
"Oh, estoy tan cansada", "Sería bueno estirarme", 0
“Oh, estoy tan cansada”, “Qué tal estirarte y descansar un rato”, 0
"Ah, estoy tan cansada", "Tomarse un descanso puede aumentar la eficiencia en el trabajo", 0
"Oh, estoy tan cansada", "Tómate un descanso", 0
"Oh, estoy tan cansada", "Es bueno tomar un descanso por un tiempo", 0
"Oh, estoy tan cansada", "Qué tal si tomamos un pequeño descanso", 0
"Ah, estoy tan cansada", "Sería bueno tener un pequeño descanso", 0
"Ah, estoy tan cansado","Tomar un descanso puede aumentar la eficiencia del trabajo",0
"Oh, estoy tan cansada","¿Qué tal si tomamos un descanso?",0
"No me puedo concentrar","Tienes alguna preocupación, dime",0
"No puedo concentrarme","Si estás muy cansado, tómate un descanso",0
"No puedo concentrarme", "¿Qué te preocupa?", 0
“No me puedo concentrar”, “Qué tal si vamos a caminar”, 0
"No me puedo concentrar","Salir a caminar",0
"No puedo concentrarme","Creo que estirar ayudará con la fatiga",0
"No me puedo concentrar","Sería bueno estirar",0
"No me puedo concentrar", "¿Qué tal estirar y tomar un descanso", 0
"No puedo concentrarme", "Tomar un descanso puede aumentar la eficiencia en el trabajo", 0
"No puedo concentrarme","Tómate un descanso",0
"No me puedo concentrar","Es bueno tomar un descanso",0
"No puedo concentrarme","¿Qué tal tomar un descanso?",0
"No puedo concentrarme","Sería bueno tener un pequeño descanso",0
"No puedo concentrarme", "Tomar un descanso puede aumentar la eficiencia de tu trabajo", 0
"No puedo concentrarme","¿Qué tal tomar un descanso?",0
"No puedo concentrarme hoy", "Tienes alguna preocupación, dime", 0
"No me puedo concentrar hoy", "Si estás muy cansado, tómate un descanso", 0
"No puedo concentrarme hoy", "¿Qué te preocupa?", 0
"Hoy no me puedo concentrar","Que tal si salimos a caminar",0
"Hoy no me puedo concentrar","Dar un pequeño paseo",0
“Hoy no me puedo concentrar”, “Creo que estirar ayudará con el cansancio”, 0
"Hoy no me puedo concentrar","Sería bueno estirar",0
“Hoy no me puedo concentrar”, “Qué tal estirarme y descansar un rato”,0
"Hoy no puedo concentrarme", "Tomarme un descanso puede aumentar la eficiencia en el trabajo",0
"Hoy no me puedo concentrar","Tómate un descanso",0
"Hoy no me puedo concentrar","Es bueno tomar un descanso",0
"Hoy no me puedo concentrar","¿Qué tal si tomamos un pequeño descanso?",0
"No puedo concentrarme hoy", "Sería bueno tener un pequeño descanso", 0
"Hoy no puedo concentrarme","Tomar un descanso puede aumentar la eficiencia del trabajo",0
"Hoy no me puedo concentrar","¿Qué tal si tomamos un descanso?",0
“Siento que estoy perdiendo la concentración”, “Tienes alguna inquietud, dímelo”, 0
"Parece que pierdes la concentración","Si estás muy cansado, tómate un descanso",0
"Pareces estar perdiendo la concentración","¿Qué te preocupa?",0
"Siento que estoy perdiendo la concentración","¿Qué tal si salgo a caminar?",0
"Parece que estoy perdiendo la concentración","Dar un pequeño paseo",0
"Creo que mi concentración se está nublando", "Creo que estirar ayudará con la fatiga", 0
"Siento que estoy perdiendo la concentración", "Sería bueno estirarme", 0
"Siento que estoy perdiendo la concentración", "¿Qué tal estirar y tomar un descanso", 0
"Siento que mi concentración se vuelve borrosa", "Tomar un descanso puede aumentar la eficiencia en el trabajo", 0
"Siento que estoy perdiendo la concentración","Tómate un descanso",0
"Siento que estoy perdiendo la concentración","Es bueno tomar un descanso",0
"Siento que estoy perdiendo la concentración", "Por qué no te tomas un descanso", 0
"Parece que estoy perdiendo la concentración","Sería bueno tener un pequeño descanso",0
"Siento que mi concentración es borrosa","Hacer un descanso puede aumentar la eficiencia del trabajo",0
"Siento que estoy perdiendo la concentración","¿Qué tal tomar un descanso?",0
"No puedo concentrarme bien hoy", "Dime si tienes alguna preocupación", 0
"No puedo concentrarme bien hoy", "Si estás muy cansado, tómate un descanso", 0
"No puedo concentrarme bien hoy", "¿Qué te preocupa?", 0
“Hoy no me puedo concentrar bien”, “Qué tal si vamos a dar un paseo”, 0
"Hoy no me puedo concentrar bien", "Sal a caminar un rato", 0
"No puedo concentrarme bien hoy", "Creo que estirar ayudará con la fatiga", 0
“Hoy no me puedo concentrar bien”, “Sería bueno estirar”, 0
"Parece que hoy no puedo concentrarme bien", "¿Qué tal si me estiro y me tomo un descanso?",0
"No puedo concentrarme bien hoy", "Tomarme un descanso puede aumentar la eficiencia en el trabajo", 0
"Hoy no puedo concentrarme bien","Tómate un descanso",0
“Hoy no me puedo concentrar bien”, “Es bueno tomarse un descanso un rato”, 0
"Hoy no puedo concentrarme bien", "¿Qué tal si tomamos un pequeño descanso?", 0
"No puedo concentrarme bien hoy", "Creo que sería bueno tener un pequeño descanso", 0
"No puedo concentrarme bien hoy", "Tomar un descanso puede aumentar la efectividad del trabajo", 0
"Hoy no puedo concentrarme bien","¿Qué tal tomar un descanso?",0
"No puedo concentrarme hoy", "Dime si tienes alguna preocupación", 0
"No me puedo concentrar hoy", "Si estás muy cansado, tómate un descanso", 0
"No puedo concentrarme hoy", "¿Qué te preocupa?", 0
"Hoy no me puedo concentrar","Que tal si salimos a caminar",0
"No me puedo concentrar hoy","Ve a caminar",0
“Hoy no me puedo concentrar”, “Creo que estirar ayudará con el cansancio”, 0
"Hoy no me puedo concentrar","Sería bueno estirar",0
“Hoy no me puedo concentrar”, “Qué tal estirarme y descansar un rato”,0
"Hoy no puedo concentrarme", "Tomarme un descanso puede aumentar la eficiencia en el trabajo",0
"Hoy no me puedo concentrar","Tómate un descanso",0
"Hoy no me puedo concentrar","Es bueno tomar un descanso",0
"Hoy no me puedo concentrar","¿Qué tal si tomamos un pequeño descanso?",0
"No puedo concentrarme hoy", "Sería bueno tener un pequeño descanso", 0
"Hoy no puedo concentrarme","Tomar un descanso puede aumentar la eficiencia del trabajo",0
"Hoy no me puedo concentrar","¿Qué tal si tomamos un descanso?",0
"Estoy perdiendo la concentración hoy", "Tienes alguna inquietud, dímelo", 0
"Estoy perdiendo la concentración hoy", "Si estás muy cansado, tómate un pequeño descanso", 0
"Hoy estoy un poco desconcentrado","¿Qué te preocupa?",0
"Hoy estoy perdiendo la concentración","¿Qué tal si salgo a caminar?",0
"Hoy estoy perdiendo la concentración","Dar un pequeño paseo",0
"Estoy un poco fuera de foco hoy", "Creo que estirar ayudará con la fatiga", 0
"Estoy un poco fuera de foco hoy", "Sería bueno estirar", 0
"Estoy perdiendo la concentración hoy", "Qué tal si tomamos un descanso y estiramos un rato", 0
"Hoy estoy un poco desconcentrado","Tomarse un descanso puede aumentar la eficiencia en el trabajo",0
"Hoy estoy perdiendo la concentración","Tómate un descanso",0
"Estoy un poco fuera de foco hoy", "Es una buena idea tomar un descanso", 0
"Hoy estoy perdiendo la concentración","¿Qué tal si tomamos un pequeño descanso?",0
"Estoy un poco fuera de foco hoy", "Creo que sería bueno tener un pequeño descanso", 0
"Hoy estoy un poco desconcentrado","Tomarse un descanso puede aumentar la efectividad del trabajo",0
"Hoy estoy perdiendo la concentración","¿Qué tal si tomamos un descanso?",0
"Estoy cansado hoy", "Tienes alguna preocupación, dime", 0
"Estoy cansado hoy", "Si estás muy cansado, tómate un descanso", 0
"Estás cansado hoy", "¿Qué te preocupa?", 0
"Hoy estoy cansada", "Qué tal si vamos a caminar", 0
"Hoy estoy cansada","Dar un pequeño paseo",0
"Estoy cansado hoy", "Creo que estirar ayudará con la fatiga", 0
"Hoy estoy cansada","Sería bueno estirar",0
“Hoy estoy cansada”, “Qué tal estirarme y descansar un rato”, 0
"Hoy estoy cansado", "Tomar un descanso puede aumentar la eficiencia en el trabajo", 0
"Hoy estoy cansado","Tómate un descanso",0
"Hoy estoy cansada","Es bueno tomar un descanso un rato",0
"Hoy estoy cansada","¿Qué tal si tomamos un pequeño descanso?",0
"Estoy cansado hoy", "Sería bueno tener un pequeño descanso", 0
"Hoy estoy cansado","Tomar un descanso puede aumentar la eficiencia del trabajo",0
"Hoy estoy cansada","¿Qué tal si tomamos un descanso?",0
"Me siento un poco cansada hoy", "Tienes alguna inquietud, dime", 0
"Me siento un poco cansado hoy", "Si estás muy cansado, tómate un descanso", 0
"Pareces un poco cansado hoy","¿Qué te preocupa?",0
"Creo que hoy estoy un poco cansada","¿Qué tal si salimos a caminar?",0
"Hoy me siento un poco cansada","Dar un pequeño paseo",0
"Me siento un poco cansado hoy", "Creo que estirar ayudará con la fatiga", 0
"Me siento un poco cansada hoy", "Sería bueno estirarme", 0
“Creo que hoy estoy un poco cansada”, “Qué tal si tomamos un descanso y estiramos un rato”, 0
"Hoy me siento un poco cansado", "Tomar un descanso puede aumentar la eficiencia en el trabajo", 0
"Hoy me siento un poco cansada","Tómate un descanso",0
"Hoy me siento un poco cansado","Es bueno tomar un descanso",0
"Hoy me siento un poco cansada","¿Qué tal si tomamos un pequeño descanso?",0
"Me siento un poco cansada hoy", "Sería bueno tener un pequeño descanso", 0
"Hoy me siento un poco cansado","Tomar un descanso puede aumentar la eficiencia del trabajo",0
"Hoy me siento un poco cansada","¿Qué tal si tomamos un descanso?",0
"Estoy cansado","Tienes alguna inquietud, dime",0
"Estoy cansado","Si estás muy cansado, tómate un descanso",0
"Estoy cansado", "¿Qué te preocupa?", 0
"Estoy cansada","¿Qué tal si salimos a caminar?",0
"Estoy cansado","Dar un pequeño paseo",0
"Estoy cansado", "Creo que estirar ayudará con la fatiga", 0
"Estoy cansado","Sería bueno estirar",0
“Estoy cansada”, “Qué tal estirarme y descansar un rato”, 0
"Estoy cansado", "Tomarse un descanso puede aumentar la eficiencia en el trabajo", 0
"Estoy cansado","Tómate un descanso",0
"Estoy cansado","Es bueno tomar un descanso un rato",0
"Estoy cansado","¿Qué tal si tomamos un pequeño descanso?",0
"Estoy cansado","Sería bueno tener un pequeño descanso",0
"Estoy cansado","Tomar un descanso puede aumentar la eficiencia en el trabajo",0
"Estoy cansado","¿Qué tal si tomamos un descanso?",0
"Sigo dando un paseo después de comer","Es una buena idea",0
"Entonces saldremos a caminar después del almuerzo","Es una buena idea",0
"Hoy es un buen día para concentrarse","Espero que termines tu trabajo con este impulso",0
“Hoy es un buen día para concentrarte”, “Termina bien tu trabajo hasta el final”, 0
"Eres un robot","Vale",0
"Eres un robot","Vale",0
"Eres un robot","Vale",0
"¿No eres un robot?", "Bueno", 0
"que eres","bueno",0
"¿Qué estás?", "Bueno", 0
"Eres un robot","Pues no estoy seguro",0
"Eres un robot","Pues no estoy seguro",0
"Eres un robot","Pues no estoy seguro",0
"No eres un robot","Pues no estoy seguro",0
"¿Qué estás?", "Bueno, no estoy seguro", 0
"¿Qué estás?", "Bueno, no estoy seguro", 0
"Eres un robot","No estoy seguro",0
"Eres un robot","No estoy seguro",0
"Eres un robot","No estoy seguro",0
"¿No eres un robot?", "No estoy seguro", 0
"¿Qué eres?", "No sé", 0
"¿Qué eres?", "No sé", 0
"Eres un robot","No estoy seguro",0
"Eres un robot","No estoy seguro",0
"Eres un robot","No estoy seguro",0
"¿No eres un robot?", "No estoy seguro", 0
"que eres","no se",0
"¿Qué eres?", "No sé", 0
"oye","porque",0
"oye","que",0
"Sí", "Sí", 0
"Sí","Sí",0
"allí","por qué",0
"ahí","qué",0
"allá","sí",0
"allí","sí",0
"compañero","sí",0
"Acompañante","Sí, llamaste",0
"Compañero","Por qué",0
"Acompañante","Tienes algo que hacer",0
"Acompañante","Si llamaste",0
"compañero","di que si",0
"compañero","",0
"Cuantas horas faltan para el trabajo","Falta una hora y media",0
"Cuantas horas faltan para el trabajo","Queda una hora",0
"Cuantas horas faltan para el trabajo","Aun quedan dos horas",0
"Cuantas horas faltan para el trabajo","10 minutos para el trabajo",0
"Cuánto tiempo queda antes del trabajo","No queda mucho",0
"Cuanto tiempo queda","No queda mucho",0
"Cuanto falta para el trabajo","Queda una hora y media",0
"Cuánto falta para el trabajo","Queda una hora",0
"Cuanto falta para que salga del trabajo","Aun quedan dos horas",0
"Cuánto tiempo hasta el trabajo","10 minutos hasta el trabajo",0
"¿Puedes decirme cuánto falta para que salgas del trabajo?", "Falta una hora y media", 0
"¿Puedes decirme cuánto falta para el trabajo","Queda una hora",0
"¿Puedes decirme cuánto tiempo falta para el trabajo","Aún quedan dos horas",0
"¿Puedes decirme cuánto falta para que quede trabajo?", 10 minutos para que quede trabajo", 0
"Dime cuanto tiempo queda","Queda una hora y media",0
"Dime cuanto tiempo queda","Queda una hora",0
"Dime cuánto tiempo queda","Aún quedan dos horas",0
"Dime cuanto tiempo queda","Quedan 10 minutos para el trabajo",0
"Salgo del trabajo en unos minutos","Falta una hora y media",0
"Salgo del trabajo en unos minutos","Falta una hora",0
"Salgo del trabajo en unos minutos","Aún quedan dos horas",0
"Salgo del trabajo en unos minutos","Tengo 10 minutos para salir del trabajo",0
"Qué comer", "¿Qué tal Jajangmyeon hoy?",0
"Qué comer", "¿Qué tal Jajangmyeon hoy?",0
"Qué comer", "¿Qué tal Jajangmyeon hoy?",0
"Qué comer","Jjajangmyeon se ve bien, qué tal",0
"Qué comer", "Qué tal tteokbokki hoy", 0
"Qué comer", "Qué tal tteokbokki", 0
"Qué comer","Creo que tteokbokki sería bueno",0
"Qué comer","¿Qué tal jjajangmyeon?",0
"Qué comer","Qué tal chuleta de cerdo para comida japonesa",0
"Qué comer", "Hoy está lloviendo, ¿qué tal Gopchang Hotpot?",0
"Qué comer","Kalguksu sería bueno ya que el clima es frío",0
"Qué comer","¿Qué tal un simple bocadillo?",0
"Qué comer","¿Qué tal un naengmyeon genial?",0
"Qué comer", "¿Qué tal bol de arroz con cerdo?",0
"Qué comer", "¿Qué tal Jajangmyeon hoy?",0
"Qué comer", "¿Qué tal Jajangmyeon hoy?",0
"Qué comer", "¿Qué tal Jajangmyeon hoy?",0
"¿Qué debo comer?", "Jjajangmyeon se ve bien, ¿qué te parece?", 0
"Qué comer", "Qué tal tteokbokki hoy", 0
"Qué comer", "Qué tal tteokbokki", 0
"¿Qué debo comer", "Creo que tteokbokki sería bueno", 0
"Qué comer", "Qué tal Jajangmyeon", 0
"Qué comer", "¿Qué tal una chuleta de cerdo para la comida japonesa", 0
"¿Qué debo comer?", "¿Qué tal Gopchang Hotpot porque está lloviendo hoy?",0
"¿Qué debo comer?"Kalguksu sería bueno ya que el clima es frío",0
"Qué comer","¿Qué tal un simple bocadillo?",0
"Qué comer", "Qué tal unos fideos fríos",0
"¿Qué debo comer?", "¿Qué tal un tazón de arroz con cerdo", 0
"¿Qué comeremos hoy?", "¿Qué tal Jajangmyeon hoy?",0
"¿Qué comeremos hoy?", "¿Qué tal Jajangmyeon hoy?",0
"¿Qué comeremos hoy?", "¿Qué tal Jajangmyeon hoy?",0
"¿Qué debo comer hoy?", "Creo que jajangmyeon será bueno, ¿qué te parece?", 0
"¿Qué comeremos hoy?", "¿Qué tal tteokbokki hoy?",0
"¿Qué comeremos hoy?", "¿Qué tal tteokbokki?",0
"Qué debo comer hoy", "Creo que tteokbokki estaría bien", 0
"¿Qué comeremos hoy?", "¿Qué tal Jajangmyeon?",0
"¿Qué comeremos hoy?", "¿Qué tal una chuleta de cerdo para la comida japonesa?",0
"¿Qué vamos a comer hoy?", "¿Qué tal Gopchang Hotpot porque está lloviendo hoy?",0
"¿Qué vamos a comer hoy?"Kalguksu sería bueno ya que el clima es frío",0
"¿Qué comemos hoy?", "Qué tal un simple sándwich", 0
"¿Qué comemos hoy?", "¿Qué tal unos fideos fríos?",0
"¿Qué comemos hoy?", "¿Qué tal un bol de arroz con cerdo?",0
"Qué comer hoy","¿Qué tal Jajangmyeon hoy?",0
"Qué comer hoy","¿Qué tal Jajangmyeon hoy?",0
"Qué comer hoy","¿Qué tal Jajangmyeon hoy?",0
"Qué comer hoy", "Jjajangmyeon se ve bien, qué tal", 0
"Que comer hoy","Que tal tteokbokki hoy",0
"Qué comer hoy","¿Qué tal tteokbokki?",0
"Qué comer hoy","Creo que tteokbokki estaría bien",0
"Qué comer hoy","¿Qué tal Jajangmyeon?",0
"Qué comer hoy","Qué tal chuleta de cerdo para comida japonesa",0
"Qué comer hoy", "¿Qué tal Gopchang Hotpot porque está lloviendo hoy", 0
"Qué comer hoy","Kalguksu sería bueno ya que el clima es frío",0
"Qué comer hoy","¿Qué tal un simple bocadillo?",0
"Qué comer hoy","¿Qué tal un naengmyeon genial?",0
"Qué comer hoy", "¿Qué tal bol de arroz con cerdo?",0
"¿Qué debo comer hoy?", "¿Qué tal Jajangmyeon hoy?",0
"¿Qué debo comer hoy?", "¿Qué tal Jajangmyeon hoy?",0
"¿Qué debo comer hoy?", "¿Qué tal Jajangmyeon hoy?",0
"¿Qué debo comer hoy?", "Jjajangmyeon sería bueno. ¿Qué te parece?",0
"¿Qué debo comer hoy?", "¿Qué tal tteokbokki hoy?",0
“¿Qué debo comer hoy?”, “¿Qué tal tteokbokki?”,0
"Qué debo comer hoy", "Creo que tteokbokki estaría bien", 0
"¿Qué debo comer hoy?", "¿Qué tal Jajangmyeon?", 0
"¿Qué debo comer hoy?", "¿Qué tal una chuleta de cerdo para la comida japonesa?",0
"¿Qué debo comer hoy?", "¿Qué tal Gopchang Hotpot porque está lloviendo hoy?",0
